Trade No,Trade Date,Underlying,Tenure,Expiration Date,Days to Expiry,Expired?,Option Type,Direction,Strike Price,Entry Price,Entry Price/bbl,Closing Price,Closing Price/bbl,Close Date, Settlement Price ,Commision,Payoff at Settlement,Intial Premium,Max loss,Unrealized P&L,Final P&L
20,03/09/2025,MCL,CLV25,17/09/2025, -   , Expired ,Call,Buy,69.00,53.0, 0.53 , 3.00 , 0.03 ,12/09/2025, 63.18 ,2.04,-52.04,,,,
21,05/09/2025,MCL,CLX25,16/10/2025, 16 ,,Put,Sell,61.00,256.0, 2.56 ,,,, 63.06 ,1.02,254.98,136.0,264.0,135.96,
22,05/09/2025,MCL,CLX25,16/10/2025, 16 ,,Put,Buy,57.00,118.0, 1.18 ,,,, 63.06 ,1.02,-119.02,,,,
23,08/09/2025,MCL,CLZ25,17/11/2025, 48 ,,Put,Sell,62.00,339.0, 3.39 ,,,, 62.63 ,1.02,337.98,200.0,350.0,199.96,
24,08/09/2025,MCL,CLZ25,17/11/2025, 48 ,,Put,Buy,56.50,137.0, 1.37 ,,,, 62.63 ,1.02,-138.02,,,,
25,22/09/2025,MCL,CLX25,16/10/2025, 16 ,,Put,Sell,60.75,98.0, 0.98 ,,,, 63.06 ,1.02,96.98,53.0,197.0,52.96,
26,22/09/2025,MCL,CLX25,16/10/2025, 16 ,,Put,Buy,58.25,43.0, 0.43 ,,,, 63.06 ,1.02,-44.02,,,,
27,22/09/2025,MCL,CLZ25,17/11/2025, 48 ,,Put,Sell,60.75,222.0, 2.22 ,,,, 62.63 ,1.02,220.98,63.0,112.0,62.96,
28,22/09/2025,MCL,CLZ25,17/11/2025, 48 ,,Put,Buy,59.00,157.0, 1.57 ,,,, 62.63 ,1.02,-158.02,,,,
29,22/09/2025,MCL,CLZ25,17/11/2025, 48 ,,Put,Sell,60.75,222.0, 2.22 ,,,, 62.63 ,1.02,220.98,63.0,112.0,62.96,
30,22/09/2025,MCL,CLZ25,17/11/2025, 48 ,,Put,Buy,59.00,157.0, 1.57 ,,,, 62.63 ,1.02,-158.02,,,,
31,23/08/2025,MCL,CLX25,16/10/2025, 16 ,  ,Call,Sell,64.50,135.0, 1.35 ,,,, 63.06 ,1.02,133.98,69.0,181.0,68.96,
32,23/08/2025,MCL,CLX25,16/10/2025, 16 ,  ,Call,Buy,67.00,64.0, 0.64 ,,,, 63.06 ,1.02,-65.02,,,,
33,24/09/2025,MCL,CLZ25,17/11/2025, 48 ,  ,Call,Sell,66.00,209.0, 2.09 ,,,, 62.63 ,1.02,207.98,95.0,255.0,94.96,
34,24/09/2025,MCL,CLZ25,17/11/2025, 48 ,  ,Call,Buy,69.50,112.0, 1.12 ,,,, 62.63 ,1.02,-113.02,,,,
35,24/09/2025,MCL,CLZ25,17/11/2025, 48 ,  ,Call,Sell,67.00,117.0, 1.17 ,,,, 62.63 ,1.02,115.98,27.0,373.0,26.96,
36,24/09/2025,MCL,CLZ25,17/11/2025, 48 ,  ,Call,Buy,71.00,88.0, 0.88 ,,,, 62.63 ,1.02,-89.02,,,,
37,24/09/2025,MCL,CLZ25,17/11/2025, 48 ,  ,Call,Sell,67.00,117.0, 1.17 ,,,, 62.63 ,1.02,115.98,27.0,373.0,26.96,
38,24/09/2025,MCL,CLZ25,17/11/2025, 48 ,  ,Call,Buy,71.00,88.0, 0.88 ,,,, 62.63 ,1.02,-89.02,,,,
39,24/09/2025,MCL,CLZ25,17/11/2025, 48 ,  ,Call,Sell,71.00,199.0, 1.99 ,,,, 62.63 ,1.02,197.98,73.0,227.0,72.96,
40,24/09/2025,MCL,CLZ25,17/11/2025, 48 ,  ,Call,Buy,68.00,124.0, 1.24 ,,,, 62.63 ,1.02,-125.02,,,,
